path	duration_s	channels	sample_rate	in_playlists
sounds/challenges/urban_9_brick_2/bastard_urban_9_2.m4a	12.144	2	44100	urban_9_brick_2
sounds/encyclopedia/Berserk.m4a	1.741	1	44100	encyclopedia
sounds/encyclopedia/Chainsaw.m4a	4.644	1	44100	encyclopedia
sounds/encyclopedia/Clown.m4a	2.647	1	44100	encyclopedia
sounds/encyclopedia/Colossus.m4a	3.460	1	44100	encyclopedia
sounds/encyclopedia/Diamond.m4a	3.947	1	44100	encyclopedia
sounds/encyclopedia/Dodge.m4a	3.599	1	44100	encyclopedia
sounds/encyclopedia/Farty.m4a	2.133	1	48000	encyclopedia
sounds/encyclopedia/Hulk.m4a	3.715	1	44100	encyclopedia
sounds/encyclopedia/QuietZombie.m4a	6.153	1	44100	encyclopedia
sounds/encyclopedia/Runner.m4a	1.920	1	48000	encyclopedia
sounds/encyclopedia/Shield.m4a	4.296	1	44100	encyclopedia
sounds/encyclopedia/WeakZombieB.m4a	2.647	1	44100	encyclopedia
sounds/encyclopedia/Zombie.m4a	1.707	1	48000	encyclopedia
sounds/encyclopedia/locked_Berserk.m4a	2.554	1	44100	encyclopedia
sounds/encyclopedia/locked_Colossus.m4a	3.529	1	44100	encyclopedia
sounds/encyclopedia/locked_Dodge.m4a	3.669	1	44100	encyclopedia
sounds/encyclopedia/locked_Farty.m4a	2.229	1	44100	encyclopedia
sounds/encyclopedia/locked_QuietZombie.m4a	10.170	1	44100	encyclopedia
sounds/encyclopedia/locked_Shield.m4a	4.365	1	44100	encyclopedia
sounds/enemies/Berserk/Berserk_aggressive_SPA.m4a	4.230	1	44100	
sounds/enemies/Berserk/Berserk_aggressive_a_SPA.m4a	4.365	1	44100	Berserk
sounds/enemies/Berserk/Berserk_aggressive_b_SPA.m4a	3.200	1	44100	Berserk
sounds/enemies/Berserk/Berserk_approach_a_SPA.m4a	3.937	1	44100	Berserk
sounds/enemies/Berserk/Berserk_approach_b_SPA.m4a	8.249	1	44100	Berserk
sounds/enemies/Berserk/Berserk_approach_c_SPA.m4a	7.326	1	44100	Berserk
sounds/enemies/Berserk/Berserk_attack.m4a	6.525	2	44100	Berserk
sounds/enemies/Berserk/Berserk_death_a_SPA.m4a	2.183	1	44100	Berserk
sounds/enemies/Berserk/Berserk_death_b_SPA.m4a	3.320	1	44100	Berserk
sounds/enemies/Berserk/Berserk_death_crit_SPA.m4a	2.833	1	44100	Berserk
sounds/enemies/Berserk/Berserk_hit_a_SPA.m4a	0.534	1	44100	Berserk
sounds/enemies/Berserk/Berserk_hit_b_SPA.m4a	0.511	1	44100	Berserk
sounds/enemies/Berserk/Berserk_hit_c_SPA.m4a	0.534	1	44100	Berserk
sounds/enemies/Berserk/Berserk_hit_d_SPA.m4a	0.534	1	44100	Berserk
sounds/enemies/Berserk/Berserk_hit_e_SPA.m4a	0.441	1	44100	Berserk
sounds/enemies/Berserk/Berserk_spawn_SPA.m4a	1.671	1	44100	Berserk
sounds/enemies/Berserk/Berserk_transition_SPA.m4a	3.855	1	44100	Berserk
sounds/enemies/Bob/Bob_aggressive_a_SPA.m4a	1.493	1	44100	Bob
sounds/enemies/Bob/Bob_aggressive_b_SPA.m4a	1.493	1	44100	Bob
sounds/enemies/Bob/Bob_approach_a_SPA.m4a	2.410	1	44100	Bob
sounds/enemies/Bob/Bob_approach_b_SPA.m4a	1.954	1	44100	Bob
sounds/enemies/Bob/Bob_approach_c_SPA.m4a	2.367	1	44100	Bob
sounds/enemies/Bob/Bob_attack.m4a	0.163	1	44100	Bob
sounds/enemies/Bob/Bob_death_a_SPA.m4a	3.715	1	44100	Bob
sounds/enemies/Bob/Bob_death_b_SPA.m4a	2.438	1	44100	Bob
sounds/enemies/Bob/Bob_death_crit_SPA.m4a	2.786	1	44100	Bob
sounds/enemies/Bob/Bob_hit_a_SPA.m4a	0.491	1	48000	Bob
sounds/enemies/Bob/Bob_hit_b_SPA.m4a	0.555	1	48000	Bob
sounds/enemies/Bob/Bob_hit_c_SPA.m4a	0.384	1	48000	Bob
sounds/enemies/Bob/Bob_hit_d_SPA.m4a	0.427	1	48000	Bob
sounds/enemies/Bob/Bob_hit_e_SPA.m4a	0.576	1	48000	Bob
sounds/enemies/Bob/Bob_hit_f_SPA.m4a	0.789	1	48000	Bob
sounds/enemies/Bob/Bob_spawn_a_SPA.m4a	2.624	1	44100	Bob
sounds/enemies/Bob/Bob_spawn_b_SPA.m4a	3.081	1	44100	Bob
sounds/enemies/Chainsaw/Chainsaw_aggressive_a_SPA.m4a	4.422	1	44100	Chainsaw
sounds/enemies/Chainsaw/Chainsaw_aggressive_b_SPA.m4a	5.180	1	44100	Chainsaw
sounds/enemies/Chainsaw/Chainsaw_approach_a_SPA.m4a	8.158	1	44100	Chainsaw
sounds/enemies/Chainsaw/Chainsaw_approach_b_SPA.m4a	4.029	1	44100	Chainsaw
sounds/enemies/Chainsaw/Chainsaw_approach_c_SPA.m4a	5.637	1	44100	Chainsaw
sounds/enemies/Chainsaw/Chainsaw_attack.m4a	8.220	2	44100	Chainsaw
sounds/enemies/Chainsaw/Chainsaw_death_a_SPA.m4a	2.879	1	44100	Chainsaw
sounds/enemies/Chainsaw/Chainsaw_death_b_SPA.m4a	2.554	1	44100	Chainsaw
sounds/enemies/Chainsaw/Chainsaw_death_crit_SPA.m4a	4.598	1	44100	Chainsaw
sounds/enemies/Chainsaw/Chainsaw_die_a_SPA.m4a	2.949	1	44100	Chainsaw
sounds/enemies/Chainsaw/Chainsaw_die_b_SPA.m4a	2.972	1	44100	Chainsaw
sounds/enemies/Chainsaw/Chainsaw_diecrit_SPA.m4a	4.760	1	44100	Chainsaw
sounds/enemies/Chainsaw/Chainsaw_hit_a_SPA.m4a	0.488	1	44100	Chainsaw
sounds/enemies/Chainsaw/Chainsaw_hit_b_SPA.m4a	0.813	1	44100	Chainsaw
sounds/enemies/Chainsaw/Chainsaw_hit_c_SPA.m4a	0.557	1	44100	Chainsaw
sounds/enemies/Chainsaw/Chainsaw_hit_d_SPA.m4a	1.207	1	44100	Chainsaw
sounds/enemies/Chainsaw/Chainsaw_hit_e_SPA.m4a	0.627	1	44100	Chainsaw
sounds/enemies/Chainsaw/Chainsaw_spawn_SPA.m4a	4.586	1	44100	Chainsaw
sounds/enemies/Clown/Clown_aggressive_SPA.m4a	11.181	1	44100	Clown
sounds/enemies/Clown/Clown_approach_a_SPA.m4a	10.229	1	44100	Clown
sounds/enemies/Clown/Clown_approach_b_SPA.m4a	9.734	1	44100	Clown
sounds/enemies/Clown/Clown_approach_c_SPA.m4a	5.054	1	44100	Clown
sounds/enemies/Clown/Clown_attack.m4a	6.989	2	44100	Clown
sounds/enemies/Clown/Clown_death_a_SPA.m4a	3.135	1	44100	Clown
sounds/enemies/Clown/Clown_death_b_SPA.m4a	2.926	1	44100	Clown
sounds/enemies/Clown/Clown_death_crit_SPA.m4a	6.432	1	44100	Clown
sounds/enemies/Clown/Clown_hit_a_SPA.m4a	2.113	1	44100	Clown
sounds/enemies/Clown/Clown_hit_b_SPA.m4a	2.694	1	44100	Clown
sounds/enemies/Clown/Clown_hit_c_SPA.m4a	1.950	1	44100	Clown
sounds/enemies/Clown/Clown_hit_d_SPA.m4a	1.718	1	44100	Clown
sounds/enemies/Clown/Clown_hit_e_SPA.m4a	1.765	1	44100	Clown
sounds/enemies/Clown/Clown_spawn_a_SPA.m4a	2.563	1	44100	Clown
sounds/enemies/Clown/Clown_spawn_b_SPA.m4a	2.441	1	44100	Clown
sounds/enemies/Colossus/Colossus_aggressive_SPA.m4a	10.930	1	44100	
sounds/enemies/Colossus/Colossus_aggressive_a_SPA.m4a	11.053	1	44100	Colossus
sounds/enemies/Colossus/Colossus_aggressive_b_SPA.m4a	8.895	1	44100	Colossus
sounds/enemies/Colossus/Colossus_approach_a_SPA.m4a	15.801	1	44100	Colossus
sounds/enemies/Colossus/Colossus_approach_b_SPA.m4a	11.651	1	44100	
sounds/enemies/Colossus/Colossus_approach_c_SPA.m4a	16.315	1	44100	Colossus
sounds/enemies/Colossus/Colossus_attack.m4a	5.526	2	44100	Colossus
sounds/enemies/Colossus/Colossus_death_a_SPA.m4a	5.968	1	44100	Colossus
sounds/enemies/Colossus/Colossus_death_b_SPA.m4a	3.599	1	44100	Colossus
sounds/enemies/Colossus/Colossus_death_crit_SPA.m4a	4.690	1	44100	Colossus
sounds/enemies/Colossus/Colossus_hit_a_SPA.m4a	0.650	1	44100	Colossus
sounds/enemies/Colossus/Colossus_hit_b_SPA.m4a	0.697	1	44100	Colossus
